ID,Titulo,Tipo,Barrio,Precio_EUR,Superficie_m2,Habitaciones,Banos,Precio_m2,Latitud,Longitud,Calificacion
PROP-001,Piso Luminoso con Terraza,Piso,Salamanca,680000,120,3,2,5667,40.4290,-3.6820,B
PROP-002,Ático Dúplex Vistas Panorámicas,Ático,Chamberí,890000,165,4,3,5394,40.4380,-3.7020,A
PROP-003,Apartamento Reformado Centro,Piso,Centro / Sol,295000,68,2,1,4338,40.4170,-3.7040,C
PROP-004,Chalet Adosado con Jardín,Chalet,Hortaleza,740000,350,5,3,2114,40.4680,-3.6550,B
PROP-005,Estudio Moderno Inversión,Estudio,Malasaña,215000,45,1,1,4778,40.4260,-3.7060,D
PROP-006,Piso Familiar Exterior,Piso,Retiro,540000,110,3,2,4909,40.4110,-3.6780,B
PROP-007,Piso Acogedor Tetuán,Piso,Tetuán,245000,75,2,1,3267,40.4560,-3.7010,C
PROP-008,Ático Exclusivo con Solárium,Ático,Chamartín,790000,140,3,2,5643,40.4620,-3.6790,A
PROP-009,Chalet Independiente Piscina,Chalet,Arturo Soria,920000,480,6,4,1916,40.4510,-3.6480,A
PROP-010,Piso Reformado Moncloa,Piso,Moncloa,380000,85,2,2,4471,40.4350,-3.7220,C
PROP-011,Bajo con Patio Privado,Piso,Arganzuela,310000,75,2,1,4133,40.3980,-3.6960,C
PROP-012,Dúplex Vanguardista,Dúplex,Salamanca,850000,150,3,3,5667,40.4310,-3.6760,A
PROP-013,Piso Económico Oportunidad,Piso,Usera,185000,64,2,1,2890,40.3840,-3.7070,E
PROP-014,Piso con Garaje y Trastero,Piso,Ciudad Lineal,365000,140,4,2,2607,40.4390,-3.6420,C
PROP-015,Chalet Pareado Familiar,Chalet,San Blas,580000,250,5,3,2320,40.4320,-3.6210,B
PROP-016,Ático Terraza 40m2,Ático,Carabanchel,280000,78,2,1,3590,40.3910,-3.7250,D
PROP-017,Piso Alto con Ascensor,Piso,Puente de Vallecas,198000,68,2,1,2912,40.3960,-3.6680,D
PROP-018,Piso Señorial Castellana,Piso,Chamartín,720000,135,3,2,5333,40.4490,-3.6890,B
PROP-019,Dúplex con Terraza Ático,Dúplex,Chamberí,620000,115,3,2,5391,40.4410,-3.7080,B
PROP-020,Chalet Urbano Exclusivo,Chalet,Mirasierra,880000,240,5,4,3667,40.4890,-3.7150,A
